Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,"2,058.90","2,072.36","1,988.12","1,994.99","1,994.99","77,330,040,000"
2014-12-01,"2,065.78","2,093.55","1,972.56","2,058.90","2,058.90","80,743,820,000"
2014-10-31,"2,018.21","2,075.76","2,001.01","2,067.56","2,067.56","63,600,190,000"
2014-09-30,"1,971.44","2,018.19","1,820.66","2,018.05","2,018.05","93,714,040,000"
2014-08-31,"2,004.07","2,019.26","1,964.04","1,972.29","1,972.29","66,706,000,000"
2014-07-31,"1,929.80","2,005.04","1,904.78","2,003.37","2,003.37","58,131,140,000"
2014-06-30,"1,962.29","1,991.39","1,930.67","1,930.67","1,930.67","66,524,690,000"
2014-05-31,"1,923.87","1,968.17","1,915.98","1,960.23","1,960.23","63,283,380,000"
2014-04-30,"1,884.39","1,924.03","1,859.79","1,923.57","1,923.57","63,623,630,000"
2014-03-31,"1,873.96","1,897.28","1,814.36","1,883.95","1,883.95","71,595,810,000"
2014-03-01,"1,857.68","1,883.97","1,834.44","1,872.34","1,872.34","71,885,030,000"
2014-02-01,"1,782.68","1,867.92","1,737.92","1,859.45","1,859.45","69,725,590,000"
2014-01-01,"1,845.86","1,850.84","1,770.45","1,782.59","1,782.59","75,871,910,000"
2013-12-01,"1,806.55","1,849.44","1,767.99","1,848.36","1,848.36","64,958,820,000"
2013-10-31,"1,758.70","1,813.55","1,746.20","1,805.81","1,805.81","63,628,190,000"
2013-09-30,"1,682.41","1,775.22","1,646.47","1,756.54","1,756.54","76,647,400,000"
2013-08-31,"1,635.95","1,729.86","1,633.41","1,681.55","1,681.55","66,174,410,000"
2013-07-31,"1,689.42","1,709.67","1,627.47","1,632.97","1,632.97","64,802,810,000"
2013-06-30,"1,609.78","1,698.78","1,604.57","1,685.73","1,685.73","68,106,820,000"
2013-05-31,"1,631.71","1,654.19","1,560.33","1,606.28","1,606.28","74,946,790,000"
2013-04-30,"1,597.55","1,687.18","1,581.28","1,630.74","1,630.74","76,447,250,000"
2013-03-31,"1,569.18","1,597.57","1,536.03","1,597.57","1,597.57","77,098,000,000"
2013-03-01,"1,514.68","1,570.28","1,501.48","1,569.19","1,569.19","68,527,110,000"
2013-02-01,"1,498.11","1,530.94","1,485.01","1,514.68","1,514.68","69,273,480,000"
2013-01-01,"1,426.19","1,509.94","1,426.19","1,498.11","1,498.11","75,848,510,000"
2012-12-01,"1,416.34","1,448.00","1,398.11","1,426.19","1,426.19","66,388,180,000"
2012-10-31,"1,412.20","1,434.27","1,343.35","1,416.18","1,416.18","71,489,310,000"
2012-09-30,"1,440.90","1,470.96","1,403.28","1,412.16","1,412.16","71,752,320,000"
2012-08-31,"1,406.54","1,474.51","1,396.56","1,440.67","1,440.67","69,784,280,000"
2012-07-31,"1,379.32","1,426.68","1,354.65","1,406.58","1,406.58","70,283,810,000"
2012-06-30,"1,362.33","1,391.74","1,325.41","1,379.32","1,379.32","73,103,810,000"
2012-05-31,"1,309.87","1,363.46","1,266.74","1,362.16","1,362.16","81,582,440,000"
2012-04-30,"1,397.86","1,415.32","1,291.98","1,310.33","1,310.33","86,920,490,000"
2012-03-31,"1,408.47","1,422.38","1,357.38","1,397.91","1,397.91","74,761,710,000"
2012-03-01,"1,365.90","1,419.15","1,340.03","1,408.47","1,408.47","83,899,660,000"
2012-02-01,"1,312.45","1,378.04","1,312.45","1,365.68","1,365.68","78,385,710,000"
2012-01-01,"1,258.86","1,333.47","1,258.86","1,312.41","1,312.41","79,567,560,000"
2011-12-01,"1,246.91","1,269.37","1,202.37","1,257.60","1,257.60","74,742,430,000"
2011-10-31,"1,251.00","1,277.55","1,158.66","1,246.96","1,246.96","84,275,050,000"
2011-09-30,"1,131.21","1,292.66","1,074.77","1,253.30","1,253.30","98,063,670,000"
2011-08-31,"1,219.12","1,229.29","1,114.22","1,131.42","1,131.42","102,786,820,000"
2011-07-31,"1,292.59","1,307.38","1,101.54","1,218.89","1,218.89","108,419,170,000"
2011-06-30,"1,320.64","1,356.48","1,282.86","1,292.28","1,292.28","81,102,170,000"
2011-05-31,"1,345.20","1,345.20","1,258.07","1,320.64","1,320.64","86,122,730,000"
2011-04-30,"1,365.21","1,370.58","1,311.80","1,345.20","1,345.20","81,708,980,000"
2011-03-31,"1,329.48","1,364.56","1,294.70","1,363.61","1,363.61","77,364,810,000"
2011-03-01,"1,328.64","1,332.28","1,249.05","1,325.83","1,325.83","89,507,640,000"
2011-02-01,"1,289.14","1,344.07","1,289.14","1,327.22","1,327.22","59,223,660,000"
2011-01-01,"1,257.62","1,302.67","1,257.62","1,286.12","1,286.12","92,164,940,000"
2010-12-01,"1,186.60","1,262.60","1,186.60","1,257.64","1,257.64","80,984,530,000"
2010-10-31,"1,185.71","1,227.08","1,173.00","1,180.55","1,180.55","87,151,070,000"
2010-09-30,"1,143.49","1,196.14","1,131.87","1,183.26","1,183.26","89,536,270,000"
2010-08-31,"1,049.72","1,157.16","1,049.72","1,141.20","1,141.20","79,589,450,000"
2010-07-31,"1,107.53","1,129.24","1,039.70","1,049.33","1,049.33","85,738,250,000"
2010-06-30,"1,031.10","1,120.95","1,010.91","1,101.60","1,101.60","94,778,110,000"
2010-05-31,"1,087.30","1,131.23","1,028.33","1,030.71","1,030.71","110,106,750,000"
2010-04-30,"1,188.58","1,205.13","1,040.78","1,089.41","1,089.41","127,662,780,000"
2010-03-31,"1,171.23","1,219.80","1,170.69","1,186.69","1,186.69","116,741,910,000"
2010-03-01,"1,105.36","1,180.69","1,105.36","1,169.43","1,169.43","103,683,550,000"
2010-02-01,"1,073.89","1,112.42","1,044.50","1,104.49","1,104.49","84,561,340,000"
2010-01-01,"1,116.56","1,150.45","1,071.59","1,073.87","1,073.87","90,947,580,000"
2009-12-01,"1,098.89","1,130.38","1,085.89","1,115.10","1,115.10","89,515,330,000"
2009-10-31,"1,036.18","1,113.69","1,029.38","1,095.63","1,095.63","84,981,530,000"
2009-09-30,"1,054.91","1,101.36","1,019.95","1,036.19","1,036.19","113,410,990,000"
2009-08-31,"1,019.52","1,080.15",991.97,"1,057.08","1,057.08","112,295,490,000"
2009-07-31,990.22,"1,039.47",978.51,"1,020.62","1,020.62","116,059,270,000"
2009-06-30,920.82,996.68,869.32,987.48,987.48,"106,635,790,000"
2009-05-31,923.26,956.23,888.86,919.32,919.32,"112,653,150,000"
2009-04-30,872.74,930.17,866.1,919.14,919.14,"131,614,940,000"
2009-03-31,793.59,888.7,783.32,872.81,872.81,"138,855,320,000"
2009-03-01,729.57,832.98,666.79,797.87,797.87,"161,843,640,000"
2009-02-01,823.09,875.01,734.52,735.09,735.09,"124,492,210,000"
2009-01-01,902.99,943.85,804.3,825.88,825.88,"112,090,640,000"
2008-12-01,888.61,918.85,815.69,903.25,903.25,"112,884,470,000"
2008-10-31,968.67,"1,007.51",741.02,896.24,896.24,"115,660,210,000"
2008-09-30,"1,164.17","1,167.03",839.8,968.75,968.75,"159,823,030,000"
2008-08-31,"1,287.83","1,303.04","1,106.42","1,166.36","1,166.36","140,007,320,000"
2008-07-31,"1,269.42","1,313.15","1,247.45","1,282.83","1,282.83","86,266,010,000"
2008-06-30,"1,276.69","1,292.17","1,200.44","1,267.38","1,267.38","124,980,570,000"
2008-05-31,"1,399.62","1,404.05","1,272.00","1,280.00","1,280.00","96,614,040,000"
2008-04-30,"1,385.97","1,440.24","1,373.07","1,400.38","1,400.38","80,990,480,000"
2008-03-31,"1,326.41","1,404.57","1,324.35","1,385.59","1,385.59","85,978,630,000"
2008-03-01,"1,330.45","1,359.68","1,256.98","1,322.70","1,322.70","93,189,170,000"
2008-02-01,"1,378.60","1,396.02","1,316.75","1,330.63","1,330.63","78,536,130,000"
2008-01-01,"1,467.97","1,471.77","1,270.05","1,378.55","1,378.55","98,475,340,000"
2007-12-01,"1,479.63","1,523.57","1,435.65","1,468.36","1,468.36","64,821,670,000"
2007-10-31,"1,545.79","1,545.79","1,406.10","1,481.14","1,481.14","86,246,950,000"
2007-09-30,"1,527.29","1,576.09","1,489.56","1,549.38","1,549.38","76,022,580,000"
2007-08-31,"1,473.96","1,538.74","1,439.29","1,526.75","1,526.75","57,809,700,000"
2007-07-31,"1,455.18","1,503.89","1,370.60","1,473.99","1,473.99","91,381,760,000"
2007-06-30,"1,504.66","1,555.90","1,454.25","1,455.27","1,455.27","70,337,430,000"
2007-05-31,"1,530.62","1,540.56","1,484.18","1,503.35","1,503.35","65,322,800,000"
2007-04-30,"1,482.37","1,535.56","1,476.70","1,530.62","1,530.62","64,958,050,000"
2007-03-31,"1,420.83","1,498.02","1,416.37","1,482.37","1,482.37","57,032,470,000"
2007-03-01,"1,406.80","1,438.89","1,363.98","1,420.86","1,420.86","67,622,250,000"
2007-02-01,"1,437.90","1,461.57","1,389.42","1,406.82","1,406.82","51,844,990,000"
2007-01-01,"1,418.03","1,441.61","1,403.97","1,438.24","1,438.24","56,686,200,000"
2006-12-01,"1,400.63","1,431.81","1,385.93","1,418.30","1,418.30","47,578,780,000"
2006-11-01,"1,377.76","1,407.89","1,360.98","1,400.63","1,400.63","55,343,930,000"
2006-09-30,"1,335.82","1,389.45","1,327.10","1,377.94","1,377.94","56,793,620,000"
2006-08-31,"1,303.80","1,340.28","1,290.93","1,335.85","1,335.85","49,001,440,000"
2006-07-31,"1,278.53","1,306.74","1,261.30","1,303.82","1,303.82","50,485,620,000"
2006-06-30,"1,270.06","1,280.42","1,224.54","1,276.66","1,276.66","46,348,220,000"
2006-05-31,"1,270.05","1,290.68","1,219.29","1,270.20","1,270.20","54,873,260,000"
2006-04-30,"1,310.61","1,326.70","1,245.34","1,270.09","1,270.09","54,312,830,000"
2006-04-01,"1,302.88","1,318.16","1,280.74","1,310.61","1,310.61","43,308,430,000"
2006-03-01,"1,280.66","1,310.88","1,268.42","1,294.87","1,294.87","50,905,040,000"
2006-02-01,"1,280.08","1,297.57","1,253.61","1,280.66","1,280.66","42,859,940,000"
2006-01-01,"1,248.29","1,294.90","1,245.74","1,280.08","1,280.08","49,211,650,000"
2005-12-01,"1,249.48","1,275.80","1,246.59","1,248.29","1,248.29","41,756,130,000"
2005-11-01,"1,207.01","1,270.64","1,201.07","1,249.48","1,249.48","45,102,870,000"
2005-09-30,"1,228.81","1,233.34","1,168.20","1,207.01","1,207.01","49,793,790,000"
2005-08-31,"1,220.33","1,243.13","1,205.35","1,228.81","1,228.81","44,777,510,000"
2005-07-31,"1,234.18","1,245.86","1,201.07","1,220.33","1,220.33","42,030,090,000"
2005-06-30,"1,191.33","1,245.15","1,183.55","1,234.18","1,234.18","37,464,670,000"
2005-05-31,"1,191.50","1,219.59","1,188.30","1,191.33","1,191.33","40,334,040,000"
2005-04-30,"1,156.85","1,199.56","1,146.18","1,191.50","1,191.50","39,321,990,000"
2005-04-01,"1,180.59","1,191.88","1,136.15","1,156.85","1,156.85","43,424,270,000"
2005-03-01,"1,203.60","1,229.11","1,163.69","1,180.59","1,180.59","39,014,150,000"
2005-02-01,"1,181.27","1,212.44","1,180.95","1,203.60","1,203.60","29,297,410,000"
2005-01-01,"1,211.92","1,217.80","1,163.75","1,181.27","1,181.27","31,498,800,000"
2004-12-01,"1,173.78","1,217.33","1,173.78","1,211.92","1,211.92","31,102,500,000"
2004-11-01,"1,130.20","1,188.46","1,127.60","1,173.82","1,173.82","30,460,280,000"
2004-09-30,"1,114.58","1,142.05","1,090.29","1,130.20","1,130.20","31,511,000,000"
2004-08-31,"1,104.24","1,131.54","1,099.18","1,114.58","1,114.58","26,829,870,000"
2004-07-31,"1,101.72","1,109.68","1,060.72","1,104.24","1,104.24","26,586,800,000"
2004-06-30,"1,140.84","1,140.84","1,078.78","1,101.72","1,101.72","29,285,600,000"
2004-05-31,"1,120.68","1,146.34","1,113.32","1,140.84","1,140.84","27,529,500,000"
2004-04-30,"1,107.30","1,127.74","1,076.32","1,120.68","1,120.68","29,326,400,000"
2004-04-01,"1,126.21","1,150.57","1,107.23","1,107.30","1,107.30","31,611,900,000"
2004-03-01,"1,144.94","1,163.23","1,087.16","1,126.21","1,126.21","33,597,900,000"
2004-02-01,"1,131.13","1,158.98","1,124.44","1,144.94","1,144.94","27,985,600,000"
2004-01-01,"1,111.92","1,155.38","1,105.08","1,131.13","1,131.13","32,820,000,000"
2003-12-01,"1,058.20","1,112.56","1,053.41","1,111.92","1,111.92","27,839,130,000"
2003-11-01,"1,050.71","1,063.65","1,031.20","1,058.20","1,058.20","24,463,220,000"
2003-09-30,995.97,"1,053.79",995.97,"1,050.71","1,050.71","32,298,500,000"
2003-08-31,"1,008.01","1,040.29",990.36,995.97,995.97,"29,940,110,000"
2003-07-31,990.31,"1,011.01",960.84,"1,008.01","1,008.01","24,881,470,000"
2003-06-30,974.5,"1,015.41",962.1,990.31,990.31,"31,553,200,000"
2003-05-31,963.59,"1,015.33",963.59,974.5,974.5,"31,219,400,000"
2003-04-30,916.92,965.38,902.83,963.59,963.59,"30,952,100,000"
2003-04-01,848.18,924.24,847.85,916.92,916.92,"29,669,610,000"
2003-03-01,841.15,895.9,788.9,848.18,848.18,"30,080,030,000"
2003-02-01,855.7,864.64,806.29,841.15,841.15,"25,235,300,000"
2003-01-01,879.82,935.05,840.34,855.7,855.7,"30,749,580,000"
2002-12-01,936.31,954.28,869.45,879.82,879.82,"25,993,640,000"
2002-11-01,885.76,941.82,872.05,936.31,936.31,"29,200,960,000"
2002-09-30,815.28,907.44,768.63,885.76,885.76,"37,856,310,000"
2002-08-31,916.07,924.02,800.2,815.28,815.28,"27,723,710,000"
2002-07-31,911.62,965,833.44,916.07,916.07,"29,298,400,000"
2002-06-30,989.82,994.46,775.68,911.62,911.62,"42,228,720,000"
2002-05-31,"1,067.14","1,070.74",952.92,989.82,989.82,"29,981,510,000"
2002-04-30,"1,076.92","1,106.59","1,048.96","1,067.14","1,067.14","26,905,500,000"
2002-04-01,"1,147.39","1,147.84","1,063.46","1,076.92","1,076.92","28,568,900,000"
2002-03-01,"1,106.73","1,173.94","1,106.73","1,147.39","1,147.39","26,563,200,000"
2002-02-01,"1,130.20","1,130.20","1,074.36","1,106.73","1,106.73","26,047,600,000"
2002-01-01,"1,148.08","1,176.97","1,081.66","1,130.20","1,130.20","29,746,200,000"
2001-12-01,"1,139.45","1,173.62","1,114.53","1,148.08","1,148.08","25,128,570,000"
2001-11-01,"1,059.78","1,163.38","1,054.31","1,139.45","1,139.45","26,330,000,000"
2001-09-30,"1,040.94","1,110.61","1,026.76","1,059.78","1,059.78","29,951,280,000"
2001-08-31,"1,133.58","1,155.40",944.75,"1,040.94","1,040.94","25,025,290,000"
2001-07-31,"1,211.23","1,226.27","1,124.87","1,133.58","1,133.58","23,359,200,000"
2001-06-30,"1,224.42","1,239.78","1,165.54","1,211.23","1,211.23","23,793,710,000"
2001-05-31,"1,255.82","1,286.62","1,203.03","1,224.38","1,224.38","24,748,030,000"
2001-04-30,"1,249.46","1,315.93","1,232.00","1,255.82","1,255.82","24,525,900,000"
2001-04-01,"1,160.33","1,269.30","1,091.99","1,249.46","1,249.46","25,409,990,000"
2001-03-01,"1,239.94","1,267.42","1,081.19","1,160.33","1,160.33","27,806,610,000"
2001-02-01,"1,366.01","1,376.38","1,215.44","1,239.94","1,239.94","21,644,400,000"
2001-01-01,"1,320.28","1,383.37","1,274.62","1,366.01","1,366.01","27,829,800,000"
2000-12-01,"1,314.95","1,389.05","1,254.07","1,320.28","1,320.28","23,610,800,000"
2000-11-01,"1,429.40","1,438.46","1,294.90","1,314.95","1,314.95","20,532,300,000"
2000-09-30,"1,436.52","1,454.82","1,305.79","1,429.40","1,429.40","25,951,400,000"
2000-08-31,"1,517.68","1,530.09","1,419.44","1,436.51","1,436.51","20,838,300,000"
2000-07-31,"1,430.83","1,525.21","1,425.43","1,517.68","1,517.68","20,363,700,000"
2000-06-30,"1,454.60","1,517.32","1,413.89","1,430.83","1,430.83","19,089,100,000"
2000-05-31,"1,420.60","1,488.93","1,420.60","1,454.60","1,454.60","21,738,300,000"
2000-04-30,"1,452.43","1,481.51","1,361.09","1,420.60","1,420.60","19,898,300,000"
2000-04-01,"1,498.58","1,527.19","1,339.40","1,452.43","1,452.43","20,106,460,000"
2000-03-01,"1,366.42","1,552.87","1,346.62","1,498.58","1,498.58","26,156,200,000"
2000-02-01,"1,394.46","1,444.55","1,325.07","1,366.42","1,366.42","20,912,000,000"
2000-01-01,"1,469.25","1,478.00","1,350.14","1,394.46","1,394.46","21,494,400,000"